build_model,build_device,manufacturer,board_platform,os_api_level_min,os_api_level_max,supported,support_avc,support_mpeg4v,max_fps,max_codec_mem_size,max_dec_count,max_enc_count,max_fhd_trans_time,rec_image_mode,rec_video_mode,audio_codec_count,max_sw_import_res,max_hw_import_res,max_dec_res_nexsw_b,max_dec_res_nexsw_m,max_dec_res_nexsw_h,max_dec_res_sw_b,max_dec_res_sw_m,max_dec_res_sw_h,max_dec_res_hw_b,max_dec_res_hw_m,max_dec_res_hw_h,export_res_sw,export_res_hw,export_res_extra,properties
,,,MSM8974,16,17,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152",""
 ,,,MSM8974,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152",""
 ,,,MSM8974AA,16,17,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8974AA,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152",""
 ,,,tegra132,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8064,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8064,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8960,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8916,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8x30n,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,2088960,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8926,16,10000,1,3,0,35,6266880,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,2088960,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8660,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,384000,384000,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"800,480,480,2097152|640,360,360,2097152","800,480,480,2097152|640,360,360,2097152","800,480,480,2097152|640,360,360,2097152",""
 ,,,msm8610,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,384000,384000,2088960,2088960,2088960,0,0,0,921600,921600,921600,"800,480,480,2097152|640,360,360,2097152","800,480,480,2097152|640,360,360,2097152","800,480,480,2097152|640,360,360,2097152","Device_Support_BaselineMaxLevel=31|Device_Support_MainMaxLevel=31|Device_Support_HighMaxLevel=31|use_wait_gl_finish=1"
 ,,,MSM8226,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,2088960,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,msm7627a,16,10000,1,3,0,35,304128,1,1,-1,1,2,-1,101376,101376,2088960,2088960,2088960,0,0,0,101376,0,0,"352,288,288,1048576","352,288,288,1048576","352,288,288,1048576",""
 ,,,msm7x27a,16,10000,1,3,0,35,304128,1,1,-1,1,2,-1,101376,101376,2088960,2088960,2088960,0,0,0,101376,0,0,"352,288,288,1048576","352,288,288,1048576","352,288,288,1048576",""
 ,,,msm7x30,16,10000,1,3,0,35,304128,1,1,-1,1,2,-1,101376,101376,2088960,2088960,2088960,0,0,0,101376,0,0,"352,288,288,1048576","352,288,288,1048576","352,288,288,1048576",""
 ,,,exynos4,16,17,1,3,0,55,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","chk_color_fmt=1|use_android_jpeg_dec=1"
 ,,,exynos5,16,17,1,3,0,55,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","chk_color_fmt=1|use_android_jpeg_dec=1"
 ,,,exynos4,18,10000,1,3,0,55,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","use_android_jpeg_dec=1"
 ,,,exynos5,18,10000,1,3,0,55,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","use_android_jpeg_dec=1"
 ,,,MT6592,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152",""
 ,,,MT6592,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152",""
 ,,,MT92_S7,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152",""
 ,,,MT92_S7,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152",""
 ,,,MT92_S9,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152",""
 ,,,MT92_S9,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,368,360,2097152",""
 ,,,MT6589,16,17,1,3,0,55,6266880,2,1,-1,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","support_video_layers=false"
 ,,,MT6589,18,10000,1,3,0,55,6266880,2,1,-1,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","support_video_layers=false"
 ,,,MTK6589,16,17,1,3,0,55,6266880,2,1,-1,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","support_video_layers=false"
 ,,,MTK6589,18,10000,1,3,0,55,6266880,2,1,-1,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","support_video_layers=false"
 ,,,MT6582,16,17,1,3,0,31,6266880,2,1,-1,1,2,-1,384000,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|640,352,360,2097152","640,352,360,2097152",""
 ,,,MT6582,18,10000,1,3,0,31,6266880,2,1,-1,1,2,-1,384000,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"640,368,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|640,368,360,2097152","640,368,360,2097152",""
 ,,,MT6588,18,10000,1,3,0,55,2088960,1,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152","1280,736,720,6291456|960,544,540,3145728|640,368,360,2097152",""
 ,,,MT6577,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MTK6577,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MT6575,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MT6572,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,tegra3,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152",""
 ,,,tegra,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,921600,921600,"1280,720,720,6291456|640,368,360,2097152","1280,720,720,6291456|640,368,360,2097152","1280,720,720,6291456|640,368,360,2097152",""
 ,,,omap4,16,10000,1,0,0,35,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,hawaii,16,10000,1,0,0,35,3133440,1,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,capri,16,10000,1,0,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,rhea,16,10000,1,0,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,sc6820i,16,10000,1,0,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,mrvl,16,10000,1,0,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,fiber,16,10000,1,0,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 VP810,,,MSM8064,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 IN810,,,MSM8064,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 VP810,,,MSM8064,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152",""
 IN810,,,MSM8064,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152","1920,1088,1080,12582912|1280,720,720,6291456|960,544,540,3145728|640,352,360,2097152",""
 XT1060,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152",""
 C6602,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C6603,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 SO-04E,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 SOL22,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 SO-02E,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C5502,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C6502,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C6606,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C6503,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
 C6506,,,MSM8064,16,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","use_mediaextractor=0"
